,주문번호,수령방법,결제방법,항목,추가선택,드레싱,서비스타입,주문금액,배달팁,결제금액,주문시각,접수시각,배달시각,주소,요청사항,배달요청사항
3710,B0QJ007C6H,배달,바로결제,"이너프 샐러드, 이너프 샐러드, 이너프 샐러드, 이너프 샐러드",,발사믹,배민,17200,3000,20200,2020-08-13 11:10:33,2020-08-13 11:11:35,2020-08-13 12:11:35,전북 전주시 덕진구 덕진동 ****,(수저포크X),(수저포크X)
3711,B0QJ007HI8,배달,바로결제,"숲속 샐러드, 닭가슴살 샐러드",,"오리엔탈, 렌치",배민,11800,4000,15800,2020-08-13 11:10:33,2020-08-13 11:11:44,2020-08-13 12:11:44,전북 전주시 덕진구 송천1동 ****,콩빼고 할리피뇨 많이넣어주세요,콩빼고 할리피뇨 많이넣어주세요
3712,B0QJ009XR4,배달,바로결제,"훈제연어 샐러드, 훈제연어 샐러드, 숲속 샐러드",,"렌치, 렌치",배민,19700,3000,22700,2020-08-13 11:49:30,2020-08-13 11:50:27,2020-08-13 12:50:27,전북 전주시 덕진구 금암2동 ****,(수저포크X),(수저포크X)
3713,B0QJ00CZ7H,배달,바로결제,"훈제연어 샐러드, 훈제연어 샐러드, 숲속 샐러드",,"렌치, 오리엔탈",배민,19700,3500,23200,2020-08-13 12:32:37,2020-08-13 12:33:29,2020-08-13 13:33:29,전북 전주시 덕진구 인후2동 ****,강낭콩은 전부 빼주세요.,강낭콩은 전부 빼주세요.
3714,B0QJ00DDKT,배달,만나서결제,"훈제연어 샐러드, 훈제연어 샐러드, 훈제연어 샐러드","연어 (100g), 목살 (100g), 고구마 (50g), 연어 (100g), 고구마 (50g), 목살 (100g)","오리엔탈, 오리엔탈, 오리엔탈",배민,34300,2000,36300,2020-08-13 12:33:01,2020-08-13 12:33:36,2020-08-13 13:33:36,전북 전주시 덕진구 덕진동 ****,리뷰할게요! 감사합니다!,리뷰할게요! 감사합니다!
3715,B0QJ00DBA3,배달,바로결제,"이너프 샐러드, 닭가슴살 샐러드",,"렌치, 발사믹",배민,10200,3000,13200,2020-08-13 12:33:53,2020-08-13 12:34:04,2020-08-13 13:34:04,전북 전주시 덕진구 금암1동 ****,샐러드 두개다 토마토 조금더넣어주시면 감사할게요오,샐러드 두개다 토마토 조금더넣어주시면 감사할게요오
3727,B0QJ00RPAV,배달,바로결제,"목살 샐러드, 훈제연어 샐러드",,"오리엔탈, 렌치",배민,13300,3500,16800,2020-08-13 17:41:56,2020-08-13 17:42:50,2020-08-13 18:42:50,전북 전주시 완산구 서신동 ****,연어샐러드에 할라피뇨랑 올리브 많이 넣어주세요!!!!,연어샐러드에 할라피뇨랑 올리브 많이 넣어주세요!!!!
